location,pid,date,時間,天氣狀況,最低溫,最高溫,體感最低溫,體感最高溫,降雨機率,蒲福風級
高雄梅山青年活動中心,F007,01/19,白天,晴時多雲,13,22,12,23,20%,-
高雄梅山青年活動中心,F007,01/19,晚上,陰時多雲,14,16,13,17,20%,-
高雄梅山青年活動中心,F007,01/20,白天,晴時多雲,14,22,13,23,20%,-
高雄梅山青年活動中心,F007,01/20,晚上,多雲時晴,13,16,14,16,20%,-
高雄梅山青年活動中心,F007,01/21,白天,晴時多雲,13,17,13,18,-%,-
高雄梅山青年活動中心,F007,01/21,晚上,多雲時晴,11,13,11,13,-%,-
高雄梅山青年活動中心,F007,01/22,白天,晴時多雲,11,16,11,17,-%,-
高雄梅山青年活動中心,F007,01/22,晚上,晴時多雲,11,13,11,13,-%,-
高雄梅山青年活動中心,F007,01/23,白天,晴時多雲,11,17,11,18,-%,-
高雄梅山青年活動中心,F007,01/23,晚上,多雲,11,13,11,13,-%,-
高雄梅山青年活動中心,F007,01/24,白天,多雲時晴,11,19,11,19,-%,-
高雄梅山青年活動中心,F007,01/24,晚上,晴時多雲,11,13,11,13,-%,-
藤枝森林遊樂區,F008,01/17,晚上,多雲,12,14,11,14,20%,-
藤枝森林遊樂區,F008,01/18,白天,晴時多雲,12,21,11,21,20%,-
藤枝森林遊樂區,F008,01/18,晚上,多雲時晴,11,14,10,14,20%,-
藤枝森林遊樂區,F008,01/19,白天,晴時多雲,11,20,10,21,20%,-
藤枝森林遊樂區,F008,01/19,晚上,多雲時陰,12,14,11,14,20%,-
藤枝森林遊樂區,F008,01/20,白天,多雲時晴,12,19,11,21,20%,-
藤枝森林遊樂區,F008,01/20,晚上,多雲,10,13,10,12,20%,-
藤枝森林遊樂區,F008,01/21,白天,晴時多雲,10,16,10,16,-%,-
藤枝森林遊樂區,F008,01/21,晚上,晴時多雲,9,11,9,10,-%,-
藤枝森林遊樂區,F008,01/22,白天,晴時多雲,9,15,9,15,-%,-
藤枝森林遊樂區,F008,01/22,晚上,多雲時晴,9,10,8,10,-%,-
藤枝森林遊樂區,F008,01/23,白天,晴時多雲,9,15,8,15,-%,-
藤枝森林遊樂區,F008,01/23,晚上,多雲時晴,9,10,8,10,-%,-
藤枝森林遊樂區,F008,01/24,白天,晴時多雲,9,16,8,17,-%,-
藤枝森林遊樂區,F008,01/24,晚上,晴時多雲,9,11,8,10,-%,-
高雄都會公園,F009,01/17,晚上,晴時多雲,18,23,19,24,20%,-
高雄都會公園,F009,01/18,白天,晴時多雲,18,26,19,27,10%,-
高雄都會公園,F009,01/18,晚上,晴時多雲,17,23,18,24,10%,-
高雄都會公園,F009,01/19,白天,晴時多雲,17,25,18,26,10%,-
高雄都會公園,F009,01/19,晚上,晴時多雲,17,23,18,24,10%,-
高雄都會公園,F009,01/20,白天,晴時多雲,17,26,18,27,10%,-
高雄都會公園,F009,01/20,晚上,晴時多雲,15,22,15,24,10%,-
高雄都會公園,F009,01/21,白天,晴時多雲,15,22,15,23,-%,-
高雄都會公園,F009,01/21,晚上,晴時多雲,13,19,13,19,-%,-
高雄都會公園,F009,01/22,白天,晴時多雲,13,21,13,21,-%,-
高雄都會公園,F009,01/22,晚上,晴時多雲,13,19,13,19,-%,-
高雄都會公園,F009,01/23,白天,晴時多雲,13,22,13,22,-%,-
高雄都會公園,F009,01/23,晚上,晴時多雲,14,19,14,20,-%,-
高雄都會公園,F009,01/24,白天,晴時多雲,14,22,14,23,-%,-
高雄都會公園,F009,01/24,晚上,晴時多雲,15,20,15,20,-%,-
基隆大武崙砲台停車場,F010,01/17,晚上,晴時多雲,16,18,16,18,20%,-
基隆大武崙砲台停車場,F010,01/18,白天,多雲時陰,16,20,15,20,20%,-
基隆大武崙砲台停車場,F010,01/18,晚上,多雲短暫雨,16,18,15,18,40%,-
基隆大武崙砲台停車場,F010,01/19,白天,多雲短暫雨,16,19,15,18,30%,-
基隆大武崙砲台停車場,F010,01/19,晚上,多雲時陰有雨,15,17,12,15,80%,-
基隆大武崙砲台停車場,F010,01/20,白天,陰有雨,14,16,12,16,90%,-
基隆大武崙砲台停車場,F010,01/20,晚上,陰有雨,13,14,12,13,90%,-
基隆大武崙砲台停車場,F010,01/21,白天,陰有雨,13,14,11,13,-%,-
基隆大武崙砲台停車場,F010,01/21,晚上,陰有雨,12,13,10,11,-%,-
基隆大武崙砲台停車場,F010,01/22,白天,陰短暫雨,12,14,11,13,-%,-
基隆大武崙砲台停車場,F010,01/22,晚上,陰短暫雨,12,13,11,12,-%,-
基隆大武崙砲台停車場,F010,01/23,白天,多雲時陰短暫雨,12,16,11,16,-%,-
基隆大武崙砲台停車場,F010,01/23,晚上,多雲短暫雨,13,14,12,13,-%,-
基隆大武崙砲台停車場,F010,01/24,白天,多雲時陰短暫雨,13,17,12,17,-%,-
基隆大武崙砲台停車場,F010,01/24,晚上,多雲短暫雨,13,15,12,14,-%,-
五分山,F011,01/17,晚上,多雲短暫雨,14,15,14,15,50%,-
五分山,F011,01/18,白天,陰時多雲,14,19,14,19,20%,-
五分山,F011,01/18,晚上,多雲短暫雨,14,15,14,16,60%,-
五分山,F011,01/19,白天,多雲短暫雨,14,18,14,17,40%,-
五分山,F011,01/19,晚上,陰時多雲有雨,14,14,12,14,80%,-
五分山,F011,01/20,白天,陰有雨,11,14,9,13,90%,-
五分山,F011,01/20,晚上,陰有雨,11,11,9,9,90%,-
五分山,F011,01/21,白天,陰有雨,10,12,8,11,-%,-
五分山,F011,01/21,晚上,陰有雨,9,10,7,8,-%,-
五分山,F011,01/22,白天,陰短暫雨,9,12,8,11,-%,-
五分山,F011,01/22,晚上,陰短暫雨,10,10,8,9,-%,-
五分山,F011,01/23,白天,陰時多雲短暫雨,10,14,9,14,-%,-
五分山,F011,01/23,晚上,多雲短暫雨,11,11,9,10,-%,-
五分山,F011,01/24,白天,多雲時陰短暫雨,10,16,9,15,-%,-
五分山,F011,01/24,晚上,多雲短暫雨,11,12,10,11,-%,-
石碇雲海國小,F012,01/17,晚上,多雲,13,15,14,15,20%,-
石碇雲海國小,F012,01/18,白天,陰時多雲,13,20,13,21,20%,-
石碇雲海國小,F012,01/18,晚上,多雲短暫雨,13,15,14,15,40%,-
石碇雲海國小,F012,01/19,白天,多雲時陰短暫雨,13,18,13,19,40%,-
石碇雲海國小,F012,01/19,晚上,陰時多雲短暫雨,13,15,13,15,80%,-
石碇雲海國小,F012,01/20,白天,陰短暫雨,11,14,11,15,100%,-
石碇雲海國小,F012,01/20,晚上,陰短暫雨,10,11,9,11,90%,-
石碇雲海國小,F012,01/21,白天,陰時多雲短暫雨,9,12,8,11,-%,-
石碇雲海國小,F012,01/21,晚上,陰短暫雨,9,9,8,9,-%,-
石碇雲海國小,F012,01/22,白天,陰短暫雨,8,12,8,11,-%,-
石碇雲海國小,F012,01/22,晚上,陰短暫雨,9,10,8,9,-%,-
石碇雲海國小,F012,01/23,白天,多雲時陰短暫雨,9,14,8,14,-%,-
石碇雲海國小,F012,01/23,晚上,多雲短暫雨,10,11,9,10,-%,-
石碇雲海國小,F012,01/24,白天,多雲短暫雨,9,16,9,16,-%,-
石碇雲海國小,F012,01/24,晚上,多雲,10,12,9,11,-%,-
烏來風景特定區,F013,01/17,晚上,陰時多雲短暫雨,13,15,13,16,40%,-
烏來風景特定區,F013,01/18,白天,陰時多雲短暫雨,13,20,13,20,50%,-
烏來風景特定區,F013,01/18,晚上,多雲時陰短暫雨,14,16,14,16,40%,-
烏來風景特定區,F013,01/19,白天,陰時多雲短暫雨,14,18,13,18,50%,-
烏來風景特定區,F013,01/19,晚上,陰時多雲短暫雨,13,15,13,15,80%,-
烏來風景特定區,F013,01/20,白天,陰短暫雨,11,14,11,15,100%,-
烏來風景特定區,F013,01/20,晚上,陰短暫雨,10,11,10,11,90%,-
烏來風景特定區,F013,01/21,白天,陰時多雲短暫雨,9,11,9,11,-%,-
烏來風景特定區,F013,01/21,晚上,陰短暫雨,8,9,8,9,-%,-
烏來風景特定區,F013,01/22,白天,陰短暫雨,8,12,8,12,-%,-
烏來風景特定區,F013,01/22,晚上,陰短暫雨,9,10,8,9,-%,-
烏來風景特定區,F013,01/23,白天,多雲時陰短暫雨,9,14,8,15,-%,-
烏來風景特定區,F013,01/23,晚上,多雲短暫雨,10,11,9,11,-%,-
烏來風景特定區,F013,01/24,白天,多雲短暫雨,10,16,9,16,-%,-
烏來風景特定區,F013,01/24,晚上,多雲時陰,10,12,9,11,-%,-
觀霧森林遊樂區,F014,01/17,晚上,多雲時晴,9,10,6,9,10%,-
觀霧森林遊樂區,F014,01/18,白天,多雲時晴,9,15,6,14,20%,-
觀霧森林遊樂區,F014,01/18,晚上,晴時多雲,7,9,5,8,10%,-
觀霧森林遊樂區,F014,01/19,白天,晴時多雲,7,14,5,12,20%,-
觀霧森林遊樂區,F014,01/19,晚上,晴時多雲,7,9,5,7,10%,-
觀霧森林遊樂區,F014,01/20,白天,多雲時晴,7,12,4,11,10%,-
觀霧森林遊樂區,F014,01/20,晚上,晴時多雲,5,7,2,5,10%,-
觀霧森林遊樂區,F014,01/21,白天,晴時多雲,5,10,2,9,-%,-
觀霧森林遊樂區,F014,01/21,晚上,晴時多雲,4,6,2,4,-%,-
觀霧森林遊樂區,F014,01/22,白天,晴時多雲,4,10,2,8,-%,-
觀霧森林遊樂區,F014,01/22,晚上,晴時多雲,5,6,2,4,-%,-
觀霧森林遊樂區,F014,01/23,白天,多雲時晴,5,10,2,8,-%,-
觀霧森林遊樂區,F014,01/23,晚上,多雲時晴,4,6,1,4,-%,-
觀霧森林遊樂區,F014,01/24,白天,晴時多雲,4,11,1,9,-%,-
觀霧森林遊樂區,F014,01/24,晚上,晴時多雲,5,6,2,4,-%,-
阿里山遊樂區,F015,01/17,晚上,陰時多雲,7,8,4,7,20%,-
阿里山遊樂區,F015,01/18,白天,晴時多雲,7,14,4,13,20%,-
阿里山遊樂區,F015,01/18,晚上,晴時多雲,6,8,3,7,10%,-
阿里山遊樂區,F015,01/19,白天,晴時多雲,6,13,3,13,20%,-
阿里山遊樂區,F015,01/19,晚上,多雲,7,8,6,7,10%,-
阿里山遊樂區,F015,01/20,白天,多雲時晴,7,13,5,12,20%,-
阿里山遊樂區,F015,01/20,晚上,晴時多雲,5,7,3,5,20%,-
阿里山遊樂區,F015,01/21,白天,多雲短暫雨,5,10,3,9,-%,-
阿里山遊樂區,F015,01/21,晚上,多雲短暫雨,4,5,2,4,-%,-
阿里山遊樂區,F015,01/22,白天,多雲短暫雨,4,8,2,7,-%,-
阿里山遊樂區,F015,01/22,晚上,多雲短暫雨,4,4,1,3,-%,-
阿里山遊樂區,F015,01/23,白天,多雲短暫雨,4,9,1,8,-%,-
阿里山遊樂區,F015,01/23,晚上,多雲短暫雨,4,5,2,3,-%,-
阿里山遊樂區,F015,01/24,白天,多雲短暫雨,4,10,2,8,-%,-
阿里山遊樂區,F015,01/24,晚上,晴時多雲,4,5,2,3,-%,-
新中橫塔塔加停車場,F016,01/17,晚上,多雲時晴,6,9,4,8,20%,-
新中橫塔塔加停車場,F016,01/18,白天,晴時多雲,6,14,4,14,20%,-
新中橫塔塔加停車場,F016,01/18,晚上,晴時多雲,6,8,3,7,10%,-
新中橫塔塔加停車場,F016,01/19,白天,晴時多雲,6,15,3,14,10%,-
新中橫塔塔加停車場,F016,01/19,晚上,多雲,5,8,4,7,10%,-
新中橫塔塔加停車場,F016,01/20,白天,晴時多雲,5,14,4,14,20%,-
新中橫塔塔加停車場,F016,01/20,晚上,晴時多雲,4,7,2,5,20%,-
新中橫塔塔加停車場,F016,01/21,白天,多雲短暫雨,4,10,2,9,-%,-
新中橫塔塔加停車場,F016,01/21,晚上,晴時多雲,3,5,1,4,-%,-
新中橫塔塔加停車場,F016,01/22,白天,多雲短暫雨,3,8,1,7,-%,-
新中橫塔塔加停車場,F016,01/22,晚上,多雲短暫雨,3,5,0,3,-%,-
新中橫塔塔加停車場,F016,01/23,白天,多雲短暫雨,3,9,0,9,-%,-
新中橫塔塔加停車場,F016,01/23,晚上,多雲短暫雨,3,5,0,3,-%,-
新中橫塔塔加停車場,F016,01/24,白天,多雲短暫雨,3,11,0,10,-%,-
新中橫塔塔加停車場,F016,01/24,晚上,多雲短暫雨,3,5,0,3,-%,-
鹿林天文台,F017,01/17,晚上,多雲時陰,5,6,2,5,20%,-
鹿林天文台,F017,01/18,白天,晴時多雲,5,12,2,11,20%,-
鹿林天文台,F017,01/18,晚上,晴時多雲,4,6,2,4,10%,-
鹿林天文台,F017,01/19,白天,晴時多雲,4,12,2,11,20%,-
鹿林天文台,F017,01/19,晚上,多雲,5,6,3,5,10%,-
鹿林天文台,F017,01/20,白天,晴時多雲,5,12,3,11,20%,-
鹿林天文台,F017,01/20,晚上,晴時多雲,3,5,0,3,20%,-
鹿林天文台,F017,01/21,白天,多雲短暫雨,3,8,0,7,-%,-
鹿林天文台,F017,01/21,晚上,晴時多雲,2,3,-1,1,-%,-
鹿林天文台,F017,01/22,白天,多雲短暫雨,2,6,-1,5,-%,-
鹿林天文台,F017,01/22,晚上,多雲短暫雨,1,2,-1,0,-%,-
鹿林天文台,F017,01/23,白天,多雲短暫雨,1,7,-1,6,-%,-
鹿林天文台,F017,01/23,晚上,多雲短暫雨,2,3,-1,1,-%,-
鹿林天文台,F017,01/24,白天,多雲短暫雨,2,8,-1,7,-%,-
鹿林天文台,F017,01/24,晚上,多雲短暫雨,2,3,-1,1,-%,-
武陵農場,F018,01/17,晚上,晴時多雲,7,10,6,9,20%,-
武陵農場,F018,01/18,白天,晴時多雲,7,15,6,14,10%,-
武陵農場,F018,01/18,晚上,晴時多雲,5,9,2,7,10%,-
武陵農場,F018,01/19,白天,晴時多雲,4,14,2,12,10%,-
武陵農場,F018,01/19,晚上,多雲時晴,6,9,3,7,10%,-
武陵農場,F018,01/20,白天,多雲,6,12,3,10,10%,-
武陵農場,F018,01/20,晚上,多雲時晴,3,6,1,4,10%,-
武陵農場,F018,01/21,白天,晴時多雲,3,9,1,7,-%,-
武陵農場,F018,01/21,晚上,多雲短暫雨,2,5,0,2,-%,-
武陵農場,F018,01/22,白天,多雲短暫雨,2,9,-1,7,-%,-
武陵農場,F018,01/22,晚上,多雲短暫雨,3,5,0,3,-%,-
武陵農場,F018,01/23,白天,多雲,3,10,0,8,-%,-
武陵農場,F018,01/23,晚上,多雲,2,5,0,3,-%,-
武陵農場,F018,01/24,白天,多雲時晴,2,11,-1,9,-%,-
武陵農場,F018,01/24,晚上,多雲時晴,3,6,0,3,-%,-
大雪山國家森林遊樂區,F019,01/17,晚上,多雲,6,7,3,5,20%,-
大雪山國家森林遊樂區,F019,01/18,白天,多雲時晴,6,12,4,10,10%,-
大雪山國家森林遊樂區,F019,01/18,晚上,晴時多雲,5,6,2,4,10%,-
大雪山國家森林遊樂區,F019,01/19,白天,晴時多雲,5,12,2,11,10%,-
大雪山國家森林遊樂區,F019,01/19,晚上,多雲時晴,5,6,2,5,10%,-
大雪山國家森林遊樂區,F019,01/20,白天,晴時多雲,5,11,3,10,10%,-
大雪山國家森林遊樂區,F019,01/20,晚上,晴時多雲,4,5,2,3,10%,-
大雪山國家森林遊樂區,F019,01/21,白天,晴時多雲,4,9,1,7,-%,-
大雪山國家森林遊樂區,F019,01/21,晚上,晴時多雲,3,4,1,1,-%,-
大雪山國家森林遊樂區,F019,01/22,白天,多雲短暫雨,3,8,1,6,-%,-
大雪山國家森林遊樂區,F019,01/22,晚上,多雲短暫雨,3,3,0,1,-%,-
大雪山國家森林遊樂區,F019,01/23,白天,多雲短暫雨,3,8,0,6,-%,-
大雪山國家森林遊樂區,F019,01/23,晚上,多雲短暫雨,3,4,0,1,-%,-
大雪山國家森林遊樂區,F019,01/24,白天,晴時多雲,3,9,0,7,-%,-
大雪山國家森林遊樂區,F019,01/24,晚上,晴時多雲,3,4,0,1,-%,-
福壽山農場,F020,01/17,晚上,多雲,7,9,6,8,20%,-
福壽山農場,F020,01/18,白天,晴時多雲,7,16,6,15,10%,-
福壽山農場,F020,01/18,晚上,晴時多雲,5,8,3,7,10%,-
福壽山農場,F020,01/19,白天,晴時多雲,5,16,3,14,10%,-
福壽山農場,F020,01/19,晚上,多雲,6,9,4,8,10%,-
福壽山農場,F020,01/20,白天,晴時多雲,6,14,4,13,10%,-
福壽山農場,F020,01/20,晚上,晴時多雲,4,7,2,5,10%,-
福壽山農場,F020,01/21,白天,晴時多雲,4,11,2,8,-%,-
福壽山農場,F020,01/21,晚上,晴時多雲,4,6,2,4,-%,-
福壽山農場,F020,01/22,白天,多雲短暫雨,4,10,2,8,-%,-
福壽山農場,F020,01/22,晚上,多雲短暫雨,4,6,2,4,-%,-
福壽山農場,F020,01/23,白天,多雲,4,11,2,10,-%,-
福壽山農場,F020,01/23,晚上,多雲,4,6,2,4,-%,-
福壽山農場,F020,01/24,白天,多雲時晴,4,12,2,10,-%,-
福壽山農場,F020,01/24,晚上,晴時多雲,4,6,2,4,-%,-
臺中都會公園,F021,01/17,晚上,多雲,16,19,15,18,20%,-
臺中都會公園,F021,01/18,白天,晴時多雲,16,22,15,21,10%,-
臺中都會公園,F021,01/18,晚上,晴時多雲,16,18,15,17,10%,-
臺中都會公園,F021,01/19,白天,晴時多雲,16,21,14,19,10%,-
臺中都會公園,F021,01/19,晚上,多雲時晴,16,18,13,16,10%,-
臺中都會公園,F021,01/20,白天,晴時多雲,15,19,12,17,10%,-
臺中都會公園,F021,01/20,晚上,晴時多雲,13,15,9,12,10%,-
臺中都會公園,F021,01/21,白天,晴時多雲,13,17,9,14,-%,-
臺中都會公園,F021,01/21,晚上,晴時多雲,11,13,9,11,-%,-
臺中都會公園,F021,01/22,白天,晴時多雲,11,18,9,16,-%,-
臺中都會公園,F021,01/22,晚上,晴時多雲,12,14,11,12,-%,-
臺中都會公園,F021,01/23,白天,晴時多雲,12,19,11,18,-%,-
臺中都會公園,F021,01/23,晚上,晴時多雲,12,15,11,13,-%,-
臺中都會公園,F021,01/24,白天,晴時多雲,12,19,11,19,-%,-
臺中都會公園,F021,01/24,晚上,晴時多雲,13,15,12,14,-%,-
陽明山國家公園小油坑停車場,F022,01/17,晚上,陰時多雲,12,13,11,12,20%,-
陽明山國家公園小油坑停車場,F022,01/18,白天,陰時多雲,12,16,11,15,20%,-
陽明山國家公園小油坑停車場,F022,01/18,晚上,多雲短暫雨,13,13,11,12,60%,-
陽明山國家公園小油坑停車場,F022,01/19,白天,多雲時陰短暫雨,12,14,10,12,50%,-
陽明山國家公園小油坑停車場,F022,01/19,晚上,陰有雨,12,12,9,10,80%,-
陽明山國家公園小油坑停車場,F022,01/20,白天,陰有雨,8,12,6,10,90%,-
陽明山國家公園小油坑停車場,F022,01/20,晚上,陰有雨,8,9,5,6,90%,-
陽明山國家公園小油坑停車場,F022,01/21,白天,陰有雨,7,9,4,6,-%,-
陽明山國家公園小油坑停車場,F022,01/21,晚上,陰有雨,7,7,3,4,-%,-
陽明山國家公園小油坑停車場,F022,01/22,白天,陰短暫雨,7,9,4,7,-%,-
陽明山國家公園小油坑停車場,F022,01/22,晚上,陰短暫雨,8,8,5,6,-%,-
陽明山國家公園小油坑停車場,F022,01/23,白天,多雲時陰短暫雨,8,11,5,10,-%,-
陽明山國家公園小油坑停車場,F022,01/23,晚上,多雲,8,9,6,7,-%,-
陽明山國家公園小油坑停車場,F022,01/24,白天,多雲短暫雨,8,13,6,12,-%,-
陽明山國家公園小油坑停車場,F022,01/24,晚上,多雲短暫雨,9,10,7,8,-%,-
陽明山國家公園擎天崗,F023,01/17,晚上,多雲時陰短暫雨,13,14,12,13,50%,-
陽明山國家公園擎天崗,F023,01/18,白天,陰時多雲,13,17,12,16,20%,-
陽明山國家公園擎天崗,F023,01/18,晚上,多雲短暫雨,14,14,12,13,60%,-
陽明山國家公園擎天崗,F023,01/19,白天,多雲時陰短暫雨,13,15,11,13,50%,-
